Wall time,Step,Value
1748547269.309471,5000,-7995.53955078125
1748547272.680297,10000,-7984.11865234375
1748547276.156111,15000,-7667.32666015625
1748547279.509394,20000,-6495.91357421875
1748547282.863137,25000,-7980.0263671875
1748547286.214931,30000,-7993.27490234375
1748547289.5675268,35000,-7985.98388671875
1748547292.92337,40000,-7194.7392578125
1748547295.8440351,45000,-7999.09912109375
1748547299.197282,50000,-7994.529296875
1748547302.5563588,55000,-7983.3623046875
1748547305.906867,60000,-7978.45068359375
1748547309.2835672,65000,-7957.8525390625
1748547312.626118,70000,-6261.64013671875
1748547315.911037,75000,-4995.890625
1748547319.286699,80000,-5860.6611328125
1748547322.655107,85000,-6245.966796875
1748547325.461131,90000,-3640.78271484375
1748547329.369465,95000,-4483.03955078125
1748547332.78496,100000,-6101.65380859375
1748547336.105738,105000,-4091.021484375
1748547339.554972,110000,-5498.5869140625
1748547342.847239,115000,-3727.882568359375
1748547346.156657,120000,-4013.538818359375
1748547349.426294,125000,-3407.72509765625
1748547352.312973,130000,-4428.83447265625
1748547355.6289651,135000,-4101.37255859375
1748547359.031639,140000,-6151.74072265625
1748547362.4258199,145000,-6264.5439453125
1748547365.820478,150000,-6258.81298828125
1748547369.209592,155000,-5716.53759765625
1748547372.621016,160000,-6312.80224609375
1748547376.027115,165000,-6290.41259765625
1748547379.420156,170000,-6419.83154296875
1748547382.290793,175000,-4225.19287109375
1748547385.7087622,180000,-6249.76708984375
1748547389.119777,185000,-6270.78466796875
1748547392.5289001,190000,-6142.98046875
1748547395.8268218,195000,-3948.005859375
1748547399.319078,200000,-6264.1201171875
1748547402.718395,205000,-5925.5439453125
1748547417.370464,210000,-6206.60009765625
1748547420.5160582,215000,-3810.846435546875
1748547423.967894,220000,-5615.48486328125
1748547427.26904,225000,-3815.908203125
1748547430.7162912,230000,-6222.66552734375
1748547434.021027,235000,-4385.1845703125
1748547437.3824341,240000,-6059.2392578125
1748547440.631619,245000,-3408.9970703125
1748547444.002014,250000,-5988.3369140625
1748547447.213953,255000,-3216.30419921875
1748547450.149339,260000,-6156.28125
1748547453.512864,265000,-6039.4013671875
1748547456.876462,270000,-6107.0703125
1748547460.240619,275000,-5850.1328125
1748547463.5003788,280000,-4111.8623046875
1748547466.8605561,285000,-5883.57666015625
1748547470.219433,290000,-6059.28662109375
1748547473.662656,295000,-6130.90087890625
1748547476.5393438,300000,-4755.794921875
1748547479.8662121,305000,-5205.734375
1748547483.226849,310000,-6189.27978515625
1748547486.5955179,315000,-6164.677734375
1748547489.814412,320000,-3492.614990234375
1748547493.1660092,325000,-5939.7646484375
1748547497.171781,330000,-5861.826171875
1748547500.492029,335000,-4372.69970703125
1748547503.799003,340000,-3643.120361328125
1748547506.651954,345000,-3591.7265625
1748547509.905451,350000,-3071.605712890625
1748547513.184234,355000,-3395.159912109375
1748547516.4473941,360000,-3255.083984375
1748547519.824219,365000,-4991.0947265625
1748547523.09849,370000,-3290.36669921875
1748547526.421398,375000,-4376.25439453125
1748547529.832057,380000,-5836.24658203125
1748547532.877595,385000,-5812.5517578125
1748547536.232696,390000,-3713.579833984375
1748547539.508208,395000,-3144.263916015625
1748547542.8614788,400000,-3862.30615234375
1748547546.1163158,405000,-3114.5380859375
1748547549.3502998,410000,-2589.06640625
1748547552.764582,415000,-6231.4912109375
1748547556.057281,420000,-2908.966552734375
1748547559.561934,425000,-6270.58154296875
1748547562.595448,430000,-6237.1015625
1748547565.9991848,435000,-5741.62841796875
1748547569.2434728,440000,-3500.038330078125
1748547572.611972,445000,-6262.455078125
1748547575.973085,450000,-6233.2041015625
1748547579.206217,455000,-3446.924072265625
1748547582.5700932,460000,-5799.56103515625
1748547585.768804,465000,-2990.32275390625
1748547588.702156,470000,-6098.138671875
1748547591.887585,475000,-3048.05810546875
1748547595.302227,480000,-6129.85595703125
1748547598.528773,485000,-3001.397216796875
1748547601.884994,490000,-6223.35791015625
1748547605.0881631,495000,-3018.336181640625
1748547608.324789,500000,-3630.19140625
