Wall time,Step,Value
1748547269.309437,5000,2000.0
1748547272.680266,10000,2000.0
1748547276.156082,15000,2000.0
1748547279.5093691,20000,2000.0
1748547282.863106,25000,2000.0
1748547286.2149,30000,2000.0
1748547289.567497,35000,2000.0
1748547292.923339,40000,2000.0
1748547295.844007,45000,2000.0
1748547299.197254,50000,2000.0
1748547302.55633,55000,2000.0
1748547305.9068391,60000,2000.0
1748547309.283537,65000,2000.0
1748547312.626085,70000,1939.0
1748547315.91101,75000,1567.0
1748547319.286667,80000,2000.0
1748547322.6550558,85000,2000.0
1748547325.461084,90000,1144.0
1748547329.36944,95000,1477.0
1748547332.784928,100000,2000.0
1748547336.1057081,105000,1345.0
1748547339.554943,110000,1893.0
1748547342.847212,115000,1173.0
1748547346.1566331,120000,1319.0
1748547349.42627,125000,1085.0
1748547352.312945,130000,1443.0
1748547355.62894,135000,1361.0
1748547359.031614,140000,2000.0
1748547362.425765,145000,2000.0
1748547365.820454,150000,2000.0
1748547369.209553,155000,1933.0
1748547372.620987,160000,2000.0
1748547376.0270798,165000,2000.0
1748547379.420128,170000,2000.0
1748547382.290766,175000,1347.0
1748547385.708736,180000,2000.0
1748547389.1197498,185000,2000.0
1748547392.528872,190000,2000.0
1748547395.826792,195000,1275.0
1748547399.3190458,200000,2000.0
1748547402.7183669,205000,1943.0
1748547417.37044,210000,2000.0
1748547420.5160298,215000,1226.0
1748547423.9678662,220000,1878.0
1748547427.2690141,225000,1244.0
1748547430.716266,230000,2000.0
1748547434.021,235000,1480.0
1748547437.382406,240000,2000.0
1748547440.631593,245000,1090.0
1748547444.0019891,250000,2000.0
1748547447.21392,255000,1030.0
1748547450.149312,260000,2000.0
1748547453.5128388,265000,2000.0
1748547456.876436,270000,2000.0
1748547460.240594,275000,2000.0
1748547463.500353,280000,1330.0
1748547466.86053,285000,2000.0
1748547470.219409,290000,2000.0
1748547473.6626298,295000,2000.0
1748547476.539318,300000,1680.0
1748547479.866186,305000,1738.0
1748547483.226822,310000,2000.0
1748547486.5954921,315000,2000.0
1748547489.814386,320000,1096.0
1748547493.165979,325000,2000.0
1748547497.1717482,330000,2000.0
1748547500.491997,335000,1395.0
1748547503.7989728,340000,1230.0
1748547506.6519308,345000,1187.0
1748547509.905422,350000,989.0
1748547513.184208,355000,1121.0
1748547516.447328,360000,1008.0
1748547519.824192,365000,1707.0
1748547523.098463,370000,1064.0
1748547526.4213738,375000,1418.0
1748547529.83203,380000,1935.0
1748547532.8775659,385000,2000.0
1748547536.232665,390000,1249.0
1748547539.508182,395000,1033.0
1748547542.861454,400000,1325.0
1748547546.116284,405000,990.0
1748547549.350274,410000,805.0
1748547552.764556,415000,2000.0
1748547556.057255,420000,920.0
1748547559.561903,425000,2000.0
1748547562.5954208,430000,2000.0
1748547565.999158,435000,2000.0
1748547569.243443,440000,1128.0
1748547572.6119418,445000,2000.0
1748547575.973055,450000,2000.0
1748547579.206191,455000,1135.0
1748547582.5700622,460000,2000.0
1748547585.768776,465000,943.0
1748547588.702125,470000,2000.0
1748547591.887558,475000,953.0
1748547595.3021939,480000,2000.0
1748547598.528746,485000,946.0
1748547601.884969,490000,2000.0
1748547605.088133,495000,999.0
1748547608.3247628,500000,1209.0
