Wall time,Step,Value
1748623716.77911,5000,-7994.6650390625
1748623720.3292632,10000,-7990.6767578125
1748623723.768971,15000,-7997.60009765625
1748623727.205207,20000,-7992.93359375
1748623730.654738,25000,-7993.88623046875
1748623734.094242,30000,-7998.708984375
1748623737.5378969,35000,-7976.83447265625
1748623740.9940732,40000,-7996.48583984375
1748623744.038805,45000,-7978.1650390625
1748623747.462703,50000,-7963.23193359375
1748623750.904752,55000,-7957.1005859375
1748623754.363277,60000,-7960.65380859375
1748623757.809561,65000,-6702.22998046875
1748623761.250229,70000,-7961.25
1748623764.689585,75000,-6417.4091796875
1748623768.1276312,80000,-7952.6103515625
1748623771.5609338,85000,-5912.76611328125
1748623774.6988358,90000,-6304.40478515625
1748623778.4124858,95000,-5387.86181640625
1748623782.0603771,100000,-6331.1181640625
1748623785.54147,105000,-6669.47705078125
1748623788.987911,110000,-6536.20703125
1748623792.459889,115000,-6551.5263671875
1748623795.921834,120000,-7957.11572265625
1748623799.4791858,125000,-6427.94677734375
1748623802.530544,130000,-6351.2294921875
1748623806.026871,135000,-5868.02880859375
1748623809.370454,140000,-3806.61865234375
1748623812.8670342,145000,-6337.10595703125
1748623816.364973,150000,-6245.6357421875
1748623819.782572,155000,-5272.95068359375
1748623823.172137,160000,-4166.62109375
1748623826.658735,165000,-6329.94775390625
1748623830.0309608,170000,-4006.014404296875
1748623833.0019488,175000,-4813.15869140625
1748623836.491251,180000,-6264.13232421875
1748623839.978293,185000,-6225.646484375
1748623843.565172,190000,-6036.9345703125
1748623847.087856,195000,-6264.2900390625
1748623850.5003562,200000,-5217.94580078125
1748623853.946134,205000,-6219.24609375
1748623857.320769,210000,-5767.779296875
1748623860.334021,215000,-5942.748046875
1748623863.7667782,220000,-6761.322265625
1748623867.201,225000,-6245.265625
1748623870.667725,230000,-6169.39111328125
1748623874.120186,235000,-6078.07275390625
1748623877.547102,240000,-6027.6142578125
1748623880.824482,245000,-3326.618896484375
1748623884.260685,250000,-6192.5205078125
1748623887.6812532,255000,-7958.3076171875
1748623890.686988,260000,-7954.5166015625
1748623894.2723572,265000,-7959.7509765625
1748623897.718694,270000,-7954.7392578125
1748623901.178563,275000,-6316.5078125
1748623904.6871538,280000,-6084.96142578125
1748623908.144149,285000,-6145.2763671875
1748623911.602505,290000,-6326.73828125
1748623915.052705,295000,-6562.27197265625
1748623917.9479492,300000,-4459.541015625
1748623921.41615,305000,-7957.28955078125
1748623924.862834,310000,-7965.06689453125
1748623928.2991512,315000,-6789.666015625
1748623931.6635442,320000,-4138.185546875
1748623935.1433449,325000,-6349.01806640625
1748623938.578401,330000,-6335.97607421875
1748623942.02926,335000,-7418.71630859375
1748623945.473718,340000,-7993.02880859375
1748623948.3526962,345000,-4120.44873046875
1748623951.792259,350000,-6925.228515625
1748623955.639842,355000,-7958.5048828125
1748623959.020174,360000,-4629.89794921875
1748623962.509266,365000,-6310.5478515625
1748623966.013073,370000,-6327.8720703125
1748623969.504332,375000,-6211.3720703125
1748623972.961102,380000,-6312.91357421875
1748623975.989835,385000,-6431.05322265625
1748623979.4590971,390000,-6326.78662109375
1748623982.915123,395000,-6331.58251953125
1748623986.349487,400000,-6280.51123046875
1748623989.794396,405000,-6067.08447265625
1748623993.178229,410000,-4893.537109375
1748623996.6290472,415000,-5985.05859375
1748624000.074427,420000,-7990.541015625
1748624003.343284,425000,-2816.16796875
1748624006.3562849,430000,-6153.5390625
1748624009.8055072,435000,-6208.62744140625
1748624013.199031,440000,-5136.384765625
1748624016.876226,445000,-4185.66455078125
1748624020.392586,450000,-5928.4111328125
1748624023.865818,455000,-6187.71875
1748624027.1969001,460000,-3113.811279296875
1748624030.57641,465000,-2703.14990234375
1748624033.6268852,470000,-6068.17529296875
1748624037.104797,475000,-5992.98388671875
1748624040.449868,480000,-3296.011962890625
1748624043.759021,485000,-2604.479736328125
1748624047.22718,490000,-6038.21533203125
1748624050.6979148,495000,-6015.96728515625
1748624053.987236,500000,-3291.903076171875
