Wall time,Step,Value
1748301621.585,2048,-1.4231575727462769
1748301622.268492,3072,-1.429931402206421
1748301622.924832,4096,-1.4346116781234741
1748301623.5725708,5120,-1.4395619630813599
1748301624.233218,6144,-1.4473742246627808
1748301624.881024,7168,-1.4537230730056763
1748301625.5193548,8192,-1.4616453647613525
1748301626.1802409,9216,-1.4696698188781738
1748301626.8345091,10240,-1.4766300916671753
1748301627.484032,11264,-1.4845449924468994
1748301628.1240761,12288,-1.4926035404205322
1748301628.760801,13312,-1.5003522634506226
1748301629.3927438,14336,-1.5072976350784302
1748301630.0320399,15360,-1.5140800476074219
1748301630.6754282,16384,-1.5171089172363281
1748301631.31083,17408,-1.5237501859664917
1748301631.9462578,18432,-1.5331324338912964
1748301632.5872371,19456,-1.5405272245407104
1748301633.2266471,20480,-1.547217845916748
1748301633.861598,21504,-1.551772952079773
1748301634.50196,22528,-1.5562691688537598
1748301635.143035,23552,-1.5632292032241821
1748301635.781065,24576,-1.5710211992263794
1748301636.4172869,25600,-1.5789204835891724
1748301637.074036,26624,-1.5852596759796143
1748301637.730779,27648,-1.5963850021362305
1748301638.408336,28672,-1.609105110168457
1748301639.070192,29696,-1.6158924102783203
1748301639.731392,30720,-1.6218092441558838
1748301640.367174,31744,-1.6264259815216064
1748301641.023436,32768,-1.6380177736282349
1748301641.667545,33792,-1.6461185216903687
1748301642.3122802,34816,-1.6534523963928223
1748301642.966791,35840,-1.6683369874954224
1748301643.618307,36864,-1.6738680601119995
1748301644.2986162,37888,-1.6762621402740479
1748301644.938853,38912,-1.6805812120437622
1748301645.59183,39936,-1.686198353767395
1748301646.2420301,40960,-1.6893573999404907
1748301646.896757,41984,-1.692625641822815
1748301647.547327,43008,-1.7042382955551147
1748301648.181081,44032,-1.7139191627502441
1748301648.818026,45056,-1.7158948183059692
1748301649.463308,46080,-1.716780185699463
1748301650.105862,47104,-1.7136869430541992
1748301650.7431412,48128,-1.712090015411377
1748301651.385399,49152,-1.7152527570724487
1748301652.041397,50176,-1.7193503379821777
1748301652.7147489,51200,-1.721031904220581
1748301653.369193,52224,-1.7236158847808838
1748301654.056182,53248,-1.7269951105117798
1748301654.714825,54272,-1.730669617652893
1748301655.3925881,55296,-1.7332215309143066
1748301656.0601668,56320,-1.7360382080078125
1748301656.703667,57344,-1.7392810583114624
1748301657.339241,58368,-1.74259352684021
1748301657.967687,59392,-1.7486766576766968
1748301658.607939,60416,-1.754555106163025
1748301659.246485,61440,-1.757669448852539
1748301659.9178739,62464,-1.759969711303711
1748301660.5503519,63488,-1.76301109790802
1748301661.203922,64512,-1.769482135772705
1748301661.844544,65536,-1.7759555578231812
1748301662.488705,66560,-1.7791494131088257
1748301663.131001,67584,-1.7808308601379395
1748301663.7685518,68608,-1.7811111211776733
1748301664.4046478,69632,-1.7791473865509033
1748301665.0444741,70656,-1.771244764328003
1748301665.685214,71680,-1.763709306716919
1748301666.327768,72704,-1.766299843788147
1748301666.966826,73728,-1.7735868692398071
1748301667.608502,74752,-1.7803255319595337
1748301668.246464,75776,-1.785988450050354
1748301668.88045,76800,-1.7892965078353882
1748301669.516257,77824,-1.7903997898101807
1748301670.149947,78848,-1.7869871854782104
1748301670.786434,79872,-1.7857006788253784
1748301671.4236019,80896,-1.7813688516616821
1748301672.0632782,81920,-1.773169994354248
1748301672.7082849,82944,-1.773852825164795
1748301673.352784,83968,-1.7810333967208862
1748301673.9950788,84992,-1.784775972366333
1748301674.634254,86016,-1.7861735820770264
