Wall time,Step,Value
1748300829.00253,2048,-1.4203009605407715
1748300829.6193001,3072,-1.4235596656799316
1748300830.253033,4096,-1.4263901710510254
1748300830.862338,5120,-1.4264401197433472
1748300831.472815,6144,-1.4273711442947388
1748300832.086098,7168,-1.433186411857605
1748300832.696387,8192,-1.4379230737686157
1748300833.2992141,9216,-1.4401215314865112
1748300833.906422,10240,-1.4412323236465454
1748300834.511471,11264,-1.4408528804779053
1748300835.116726,12288,-1.4386489391326904
1748300835.7208362,13312,-1.4357991218566895
1748300836.3282938,14336,-1.4352796077728271
1748300836.932786,15360,-1.435103178024292
1748300837.53976,16384,-1.4373966455459595
1748300838.1513689,17408,-1.439536690711975
1748300838.7592561,18432,-1.4358572959899902
1748300839.363323,19456,-1.4340314865112305
1748300839.9669812,20480,-1.436255693435669
1748300840.576651,21504,-1.441389560699463
1748300841.1840498,22528,-1.4407291412353516
1748300841.79041,23552,-1.4397468566894531
1748300842.396479,24576,-1.4441124200820923
1748300843.002989,25600,-1.4466322660446167
1748300843.6122859,26624,-1.447575569152832
1748300844.222065,27648,-1.4513376951217651
1748300844.831413,28672,-1.4563418626785278
1748300845.444258,29696,-1.4604393243789673
1748300846.053526,30720,-1.4610787630081177
1748300846.66038,31744,-1.4579977989196777
1748300847.2615979,32768,-1.4551581144332886
1748300847.865767,33792,-1.4559664726257324
1748300848.471285,34816,-1.4486819505691528
1748300849.076527,35840,-1.4368363618850708
1748300849.6861959,36864,-1.4282581806182861
1748300850.29198,37888,-1.4247697591781616
1748300850.8955321,38912,-1.4252954721450806
1748300851.5071318,39936,-1.4260483980178833
1748300852.114281,40960,-1.4287517070770264
1748300852.7270331,41984,-1.431752324104309
1748300853.385988,43008,-1.4304625988006592
1748300854.003047,44032,-1.430283784866333
1748300854.624238,45056,-1.4292716979980469
1748300855.233449,46080,-1.4261682033538818
1748300855.846581,47104,-1.4227436780929565
1748300856.4551198,48128,-1.4234354496002197
1748300857.063015,49152,-1.421586513519287
1748300857.667197,50176,-1.421648621559143
1748300858.2700531,51200,-1.421325922012329
1748300858.880147,52224,-1.421042561531067
1748300859.48332,53248,-1.42424476146698
1748300860.086792,54272,-1.4289164543151855
1748300860.695584,55296,-1.4242208003997803
1748300861.305423,56320,-1.416174054145813
1748300861.905805,57344,-1.41028892993927
1748300862.509961,58368,-1.4041345119476318
1748300863.113101,59392,-1.4036844968795776
1748300863.721195,60416,-1.398381233215332
1748300864.32522,61440,-1.3958460092544556
1748300864.932003,62464,-1.3972740173339844
1748300865.535489,63488,-1.3972392082214355
1748300866.139524,64512,-1.396951675415039
1748300866.751795,65536,-1.3977724313735962
1748300867.3614779,66560,-1.3970729112625122
1748300867.96063,67584,-1.3963440656661987
1748300868.5694,68608,-1.3966294527053833
1748300869.175539,69632,-1.39650559425354
1748300869.781827,70656,-1.3970612287521362
1748300870.388972,71680,-1.39792799949646
1748300870.997849,72704,-1.3977211713790894
1748300871.609272,73728,-1.3974270820617676
1748300872.217234,74752,-1.3978458642959595
1748300872.820266,75776,-1.3984867334365845
1748300873.427795,76800,-1.3977177143096924
1748300874.025525,77824,-1.3974863290786743
1748300874.6298869,78848,-1.3973840475082397
1748300875.238435,79872,-1.3978991508483887
1748300875.8432388,80896,-1.399885654449463
