time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,eval/mean_ep_length,eval/mean_reward
0,1,0.177697,5836,1000.0,2048,,,,,,,,,,,,,
1,2,0.093708,3563,1000.0,4096,10,0.013333601094200277,0.2,0.03349609375,-0.002787058547255583,0.0003,0.007645915262401104,-1.4183777555823327,0.9989465475082397,0.005017802,0.2850137948989868,,
1,3,0.104363,3216,1000.0,6144,20,0.0018787451246680576,0.2,0.03427734375,-0.004541156442428473,0.0003,0.003942748531699181,-1.4285099629312754,1.0168848037719727,0.005055216,0.4885050058364868,,
2,4,0.078276,3067,1000.0,8192,30,0.00147384156471162,0.2,0.00615234375,-0.0005773652592324652,0.0003,-0.009153340011835098,-1.4311933130025865,1.0084670782089233,0.0026139135,0.4179835915565491,,
,,,,,10000,40,0.0026968633614160354,0.2,0.027294921875,-0.0029449255380313843,0.0003,-0.007651645224541426,-1.423369923979044,0.9989308714866638,0.004125527,0.16869813203811646,1000.0,11.17863721687214
4,5,0.2674379,2462,1000.0,10240,,,,,,,,,,,,,
4,6,0.32093883333333334,2501,1000.0,12288,50,0.0009788812501028588,0.2,0.013916015625,-0.0013620111567433923,0.0003,-0.022929105907678604,-1.4135934963822365,0.9933146238327026,0.0033214702,0.5561707019805908,,
5,7,2.5081782142857145,2527,1000.0,14336,60,0.7505557216412854,0.2,0.006298828125,-0.0004954352785716765,0.0003,0.12074609845876694,-1.4071669638156892,0.9813309907913208,0.0019811988,0.07693856954574585,,
6,8,2.233101625,2544,1000.0,16384,70,0.04187984868767671,0.2,0.033837890625,-0.003389172886090819,0.0003,0.0010083080269396305,-1.3897847522050142,0.9630283117294312,0.004127175,0.47707682847976685,,
7,9,1.9887761111111115,2562,1000.0,18432,80,0.008757188446179499,0.2,0.0197265625,-0.0018327482393942773,0.0003,-0.01005554012954235,-1.3774965804070234,0.9575976133346558,0.0036964742,0.3344361186027527,,
,,,,,20000,90,0.0070762843875854745,0.2,0.036376953125,-0.0029768815482384527,0.0003,0.00826073158532381,-1.3802061572670936,0.9630904197692871,0.0029046596,0.4576493501663208,1000.0,4.08802449885517
8,10,1.8172805500000002,2354,1000.0,20480,,,,,,,,,,,,,
9,11,1.679217181818182,2383,1000.0,22528,100,0.003561493643792346,0.2,0.0259765625,-0.0032989192113745958,0.0003,-0.0022405674681067467,-1.3944857388734817,0.9865471720695496,0.003573296,0.37553340196609497,,
10,12,1.8488900416666667,2408,1000.0,24576,110,0.01855728414593614,0.2,0.020166015625,-0.00447001919746981,0.0003,0.010454217903316021,-1.3956835754215717,0.9690285921096802,0.0034039905,0.6061200499534607,,
10,13,1.7246935384615385,2428,1000.0,26624,120,0.006713406124617904,0.2,0.02978515625,-0.0028059239986760074,0.0003,-0.017137784510850906,-1.383281883224845,0.9611015915870667,0.0026920675,0.3411310911178589,,
11,14,1.6017625357142857,2445,1000.0,28672,130,0.0021433927962789313,0.2,0.03916015625,-0.0041059701230551585,0.0003,-0.0015039839781820774,-1.3712287046015263,0.9491732716560364,0.0041372543,0.47837334871292114,,
,,,,,30000,140,0.0020152620900262264,0.2,0.0345703125,-0.0031557771842926742,0.0003,-0.00935673899948597,-1.3701073531061412,0.9576042294502258,0.004231329,0.44320935010910034,1000.0,0.26146566305502517
13,15,1.8529772666666666,2328,1000.0,30720,,,,,,,,,,,,,
13,16,1.740399625,2348,1000.0,32768,150,0.030170369104598648,0.2,0.014306640625,-0.0014477897879260127,0.0003,0.001224389299750328,-1.3738238781690597,0.9539557695388794,0.0022407505,0.3287004828453064,,
14,17,2.3805778235294115,2366,1000.0,34816,160,0.004486772179370746,0.2,0.014306640625,-0.0017292990698479116,0.0003,-0.0016477677272632718,-1.3702657386660575,0.9515230059623718,0.0019503875,-0.03341686725616455,,
15,18,2.2483411666666666,2382,1000.0,36864,170,0.08373377551615704,0.2,0.026611328125,-0.004235661508573685,0.0003,-0.009649371728301048,-1.3700439248234033,0.9508492946624756,0.0032525826,0.48403894901275635,,
16,19,2.1318178157894736,2398,1000.0,38912,180,0.006338497807882959,0.2,0.01767578125,-0.0018143333058105783,0.0003,-0.004477598704397678,-1.3757378883659839,0.9627844095230103,0.0025225924,0.08302462100982666,,
,,,,,40000,190,0.0857174982840661,0.2,0.021142578125,-0.0021228333047474735,0.0003,0.0316789448261261,-1.373269046843052,0.9505848288536072,0.0037778465,0.6503902673721313,1000.0,6.618816124626861
17,20,2.718741625,2316,1000.0,40960,,,,,,,,,,,,,
18,21,2.8852237906976743,2332,1000.0,43008,200,0.05150966390792746,0.2,0.037451171875,-0.002799209732620511,0.0003,0.009985951706767082,-1.3627158787101508,0.9403278231620789,0.003143074,0.7785223126411438,,
19,22,2.7651785555555555,2346,1000.0,45056,210,0.022062033661495662,0.2,0.024658203125,-0.0025090034498134626,0.0003,-0.008832549676299095,-1.362208938598633,0.9494683742523193,0.0023876198,0.5761829018592834,,
19,23,2.6479548510638296,2359,1000.0,47104,220,0.007057694980903762,0.2,0.022705078125,-0.0031586841971147804,0.0003,-5.81289641559124e-05,-1.3613588195294142,0.9383988380432129,0.003847166,0.03468090295791626,,
20,24,2.542451020408163,2372,1000.0,49152,230,0.0027157647635249306,0.2,0.0634765625,-0.005156930230441503,0.0003,-0.011374886147677898,-1.3637963134795428,0.9527149200439453,0.006032659,0.1622106432914734,,
,,,,,50000,240,0.0030217363051633583,0.2,0.024462890625,-0.003846682894800324,0.0003,-0.003003189340233803,-1.3729433178901673,0.9589643478393555,0.0036763651,0.17250877618789673,1000.0,1.8327093080367542
22,25,2.443180901960784,2308,1000.0,51200,,,,,,,,,,,,,
22,26,3.082211943396226,2321,1000.0,53248,250,0.005135923545640253,0.2,0.01806640625,-0.0007230176495795603,0.0003,-0.00816946942359209,-1.3747214168310165,0.9552978873252869,0.0026566484,0.9104541540145874,,
23,27,2.9704048727272725,2333,1000.0,55296,260,0.05574350141832838,0.2,0.0177734375,-0.0028805989160900934,0.0003,0.045529548078775406,-1.3673115365207196,0.9427899122238159,0.0032270392,0.8182283043861389,,
24,28,2.866690368421052,2345,1000.0,57344,270,0.002578401461323665,0.2,0.02685546875,-0.002867953182430938,0.0003,0.007044592872262001,-1.3541665375232697,0.9322283267974854,0.0034673652,-0.06215822696685791,,
25,29,2.7700876779661012,2356,1000.0,59392,280,0.0021826796322784504,0.2,0.04169921875,-0.003636944205209147,0.0003,-0.024590369313955307,-1.3389158584177494,0.9153586626052856,0.004604184,0.4662246108055115,,
,,,,,60000,290,0.0009248152139662124,0.2,0.0216796875,-0.0022285941275185907,0.0003,-0.00892207957804203,-1.3303863503038884,0.9151581525802612,0.003106458,0.4743707776069641,1000.0,18.149221453541127
26,30,4.079434770491803,2303,1000.0,61440,,,,,,,,,,,,,
27,31,4.221303444444444,2315,1000.0,63488,300,0.6533062717295252,0.2,0.0146484375,-0.002278529146860819,0.0003,0.08063240349292755,-1.3277991876006126,0.9075683951377869,0.003268824,0.4177771210670471,,
28,32,4.105118461538463,2324,1000.0,65536,310,0.0970681295148097,0.2,0.031884765625,-0.0044878466680529526,0.0003,0.0031562205404043198,-1.3254330798983573,0.9124757051467896,0.0056647086,0.6653505563735962,,
28,33,4.117715402985074,2334,1000.0,67584,320,0.04384323577105533,0.2,0.0216796875,-0.0016411719843745232,0.0003,0.004261697642505169,-1.3206036411225797,0.9033419489860535,0.0034688637,0.6733801364898682,,
29,34,4.316102304347826,2344,1000.0,69632,330,0.01909848609211622,0.2,0.02578125,-0.0028451114711060656,0.0003,0.0007677143439650536,-1.3107137925922872,0.8935895562171936,0.0035776508,0.33786505460739136,,
,,,,,70000,340,0.07489816867164337,0.2,0.03203125,-0.005612020628177561,0.0003,0.003557000309228897,-1.2993092481046915,0.879073977470398,0.0041966136,0.7166785001754761,1000.0,38.28084011730017
31,35,4.268361126760563,2299,1000.0,71680,,,,,,,,,,,,,
31,36,5.443698246575343,2309,1000.0,73728,350,0.02372061796631897,0.2,0.012939453125,-0.0025025020382599904,0.0003,0.0031354492530226707,-1.2916493516415357,0.8830846548080444,0.0028059487,0.44587796926498413,,
32,37,5.510516813333334,2318,1000.0,75776,360,1.3520496655721217,0.2,0.0134765625,-0.0013382225210079924,0.0003,0.20519345998764038,-1.2924751605838538,0.8765289783477783,0.0038830752,0.5779778957366943,,
33,38,5.50495061038961,2326,1000.0,77824,370,0.10781604957883247,0.2,0.016650390625,-0.002917576096660923,0.0003,0.0003818236291408539,-1.276773750782013,0.8605384826660156,0.0035320017,0.3815697431564331,,
34,39,5.550202088607595,2335,1000.0,79872,380,0.060341009474359456,0.2,0.02880859375,-0.0032281524676363916,0.0003,0.00309921707957983,-1.2623571570962668,0.8494756817817688,0.0041925833,0.8448949456214905,,
,,,,,80000,390,0.027542401748360135,0.2,0.053125,-0.005641345550247934,0.0003,-0.004501599818468094,-1.2542565919458866,0.8507780432701111,0.0044641816,0.36034154891967773,1000.0,42.92504844371435
35,40,5.437001086419753,2297,1000.0,81920,,,,,,,,,,,,,
36,41,5.3339551084337335,2305,1000.0,83968,400,0.050837673642672596,0.2,0.0265625,-0.0026753069629194214,0.0003,0.008543336763978004,-1.2586282763630152,0.8530188798904419,0.004883122,0.26823705434799194,,
37,42,6.225049209302324,2313,1000.0,86016,410,0.07312728195975068,0.2,0.0333984375,-0.0038717829476809127,0.0003,0.015311094932258129,-1.2490668285638094,0.8324944376945496,0.003617988,0.7683950662612915,,
37,43,6.826219522727272,2321,1000.0,88064,420,0.6967144175432622,0.2,0.008837890625,-0.0011794824356911704,0.0003,0.08114155381917953,-1.2333705022931098,0.8275824189186096,0.0021914868,0.8049979209899902,,
,,,,,90000,430,0.31966361108934505,0.2,0.02392578125,-0.002677786988715525,0.0003,0.03994499519467354,-1.22619354352355,0.821744441986084,0.003648425,0.9018963575363159,1000.0,56.065424440469336
39,44,6.798298322222221,2287,1000.0,90112,,,,,,,,,,,,,
40,45,6.932725141304347,2295,1000.0,92160,440,0.10747719389619306,0.2,0.031494140625,-0.004182183493685443,0.0003,0.0039003007113933563,-1.2132144212722777,0.8080446124076843,0.0034687645,0.8512568473815918,,
40,46,8.136497361702128,2303,1000.0,94208,450,0.08981003044755198,0.2,0.044775390625,-0.00412202415172942,0.0003,-0.003284946084022522,-1.2022960614413023,0.8023070096969604,0.005416289,0.5951298475265503,,
41,47,8.373713802083332,2310,1000.0,96256,460,0.663493785681203,0.2,0.05458984375,-0.0038056255900301037,0.0003,0.16579142212867737,-1.1977553054690362,0.8009355068206787,0.007450186,0.7079423069953918,,
42,48,8.203536061224488,2317,1000.0,98304,470,0.34810277635697273,0.2,0.011962890625,-7.961538649396971e-05,0.0003,0.01585826650261879,-1.1943047668784856,0.7955175638198853,0.0013767089,0.8549568057060242,,
,,,,,100000,480,0.041519561389577575,0.2,0.032177734375,-0.003686370624927804,0.0003,-0.003226769156754017,-1.1983440633863212,0.8087039589881897,0.0042253262,-0.18159663677215576,1000.0,30.934881255359283
43,49,9.028328899999998,2285,1000.0,100352,,,,,,,,,,,,,
